No,[usec],,,
1,1.25,-0.006103897,MAX,-0.002189054
2,2.5,-0.006126817,MIN,-0.010037077
3,3.75,-0.006131401,êUïùç≈ëÂ,-0.012226131
4,5,-0.006135985,íÜä‘,-0.006113065
5,6.25,-0.006145154,,
6,7.5,-0.006158906,,
7,8.75,-0.006177243,,
8,10,-0.006186411,,
9,11.25,-0.006195579,,
10,12.5,-0.006200163,,
11,13.75,-0.006209331,,
12,15,-0.006236836,,
13,16.25,-0.006250589,,
14,17.5,-0.006268925,,
15,18.75,-0.006278093,,
16,20,-0.006287262,,
17,21.25,-0.00629643,,
18,22.5,-0.006305598,,
19,23.75,-0.006314766,,
20,25,-0.006323935,,
21,26.25,-0.006333103,,
22,27.5,-0.006346855,,
23,28.75,-0.006360608,,
24,30,-0.006378944,,
25,31.25,-0.006401865,,
26,32.5,-0.006424785,,
27,33.75,-0.006438538,,
28,35,-0.00645229,,
29,36.25,-0.006466043,,
30,37.5,-0.006488963,,
31,38.75,-0.006511884,,
32,40,-0.006521052,,
33,41.25,-0.006534804,,
34,42.5,-0.006548557,,
35,43.75,-0.006571477,,
36,45,-0.006594398,,
37,46.25,-0.00660815,,
38,47.5,-0.006626487,,
39,48.75,-0.006644824,,
40,50,-0.006667744,,
41,51.25,-0.006686081,,
42,52.5,-0.006709001,,
43,53.75,-0.006722754,,
44,55,-0.006727338,,
45,56.25,-0.006736506,,
46,57.5,-0.006750258,,
47,58.75,-0.006777763,,
48,60,-0.006800684,,
49,61.25,-0.006823604,,
50,62.5,-0.006832773,,
51,63.75,-0.006841941,,
52,65,-0.006860277,,
53,66.25,-0.006887782,,
54,67.5,-0.006906119,,
55,68.75,-0.006915287,,
56,70,-0.006929039,,
57,71.25,-0.006942792,,
58,72.5,-0.006956544,,
59,73.75,-0.006984049,,
60,75,-0.007002385,,
61,76.25,-0.007016138,,
62,77.5,-0.00702989,,
63,78.75,-0.007043643,,
64,80,-0.007066563,,
65,81.25,-0.007098652,,
66,82.5,-0.007112404,,
67,83.75,-0.007112404,,
68,85,-0.007116989,,
69,86.25,-0.007126157,,
70,87.5,-0.007139909,,
71,88.75,-0.007158246,,
72,90,-0.007181166,,
73,91.25,-0.007190335,,
74,92.5,-0.007204087,,
75,93.75,-0.007222423,,
76,95,-0.00724076,,
77,96.25,-0.007249928,,
78,97.5,-0.007259096,,
79,98.75,-0.007263681,,
80,100,-0.007272849,,
81,101.25,-0.007291185,,
82,102.5,-0.007304938,,
83,103.75,-0.007323274,,
84,105,-0.007337027,,
85,106.25,-0.007346195,,
86,107.5,-0.0073737,,
87,108.75,-0.007387452,,
88,110,-0.007410373,,
89,111.25,-0.007428709,,
90,112.5,-0.00745163,,
91,113.75,-0.007465382,,
92,115,-0.007479135,,
93,116.25,-0.007488303,,
94,117.5,-0.007502055,,
95,118.75,-0.007511223,,
96,120,-0.007515808,,
97,121.25,-0.007524976,,
98,122.5,-0.007538728,,
99,123.75,-0.007552481,,
100,125,-0.007566233,,
101,126.25,-0.007579985,,
102,127.5,-0.00758457,,
103,128.75,-0.007598322,,
104,130,-0.007621243,,
105,131.25,-0.007648747,,
106,132.5,-0.0076625,,
107,133.75,-0.007671668,,
108,135,-0.007680836,,
109,136.25,-0.007699173,,
110,137.5,-0.007717509,,
111,138.75,-0.00774043,,
112,140,-0.007758766,,
113,141.25,-0.007777103,,
114,142.5,-0.007795439,,
115,143.75,-0.007822944,,
116,145,-0.007841281,,
117,146.25,-0.007868785,,
118,147.5,-0.007891706,,
119,148.75,-0.00789629,,
120,150,-0.007910042,,
121,151.25,-0.007932963,,
122,152.5,-0.0079513,,
123,153.75,-0.00797422,,
124,155,-0.007987973,,
125,156.25,-0.008001725,,
126,157.5,-0.008015477,,
127,158.75,-0.008033814,,
128,160,-0.00805215,,
129,161.25,-0.008075071,,
130,162.5,-0.008088823,,
131,163.75,-0.008088823,,
132,165,-0.008093408,,
133,166.25,-0.00810716,,
134,167.5,-0.008120912,,
135,168.75,-0.008134665,,
136,170,-0.008153001,,
137,171.25,-0.008157585,,
138,172.5,-0.008162169,,
139,173.75,-0.008166754,,
140,175,-0.008180506,,
141,176.25,-0.008189674,,
142,177.5,-0.008198842,,
143,178.75,-0.008208011,,
144,180,-0.008226347,,
145,181.25,-0.008249268,,
146,182.5,-0.008267604,,
147,183.75,-0.008290525,,
148,185,-0.008308861,,
149,186.25,-0.008308861,,
150,187.5,-0.008313446,,
151,188.75,-0.00831803,,
152,190,-0.008336366,,
153,191.25,-0.008350119,,
154,192.5,-0.008354703,,
155,193.75,-0.008350119,,
156,195,-0.008363871,,
157,196.25,-0.008377623,,
158,197.5,-0.008400544,,
159,198.75,-0.00841888,,
160,200,-0.00841888,,
161,201.25,-0.008414296,,
162,202.5,-0.008423465,,
163,203.75,-0.008437217,,
164,205,-0.008455553,,
165,206.25,-0.008464722,,
166,207.5,-0.008469306,,
167,208.75,-0.008478474,,
168,210,-0.008496811,,
169,211.25,-0.008505979,,
170,212.5,-0.008524315,,
171,213.75,-0.008533484,,
172,215,-0.008538068,,
173,216.25,-0.00855182,,
174,217.5,-0.008560988,,
175,218.75,-0.008579325,,
176,220,-0.008597661,,
177,221.25,-0.008611414,,
178,222.5,-0.008620582,,
179,223.75,-0.008638918,,
180,225,-0.008657255,,
181,226.25,-0.008675591,,
182,227.5,-0.00868476,,
183,228.75,-0.008698512,,
184,230,-0.008703096,,
185,231.25,-0.008712264,,
186,232.5,-0.008716849,,
187,233.75,-0.008726017,,
188,235,-0.008726017,,
189,236.25,-0.008735185,,
190,237.5,-0.008739769,,
191,238.75,-0.008753522,,
192,240,-0.00876269,,
193,241.25,-0.008776442,,
194,242.5,-0.008781026,,
195,243.75,-0.008781026,,
196,245,-0.00878561,,
197,246.25,-0.008799363,,
198,247.5,-0.008803947,,
199,248.75,-0.008817699,,
200,250,-0.008826868,,
201,251.25,-0.008831452,,
202,252.5,-0.00884062,,
203,253.75,-0.008858956,,
204,255,-0.008868125,,
205,256.25,-0.008886461,,
206,257.5,-0.008900214,,
207,258.75,-0.008909382,,
208,260,-0.008913966,,
209,261.25,-0.00891855,,
210,262.5,-0.008936887,,
211,263.75,-0.008955223,,
212,265,-0.008964391,,
213,266.25,-0.008968975,,
214,267.5,-0.008978144,,
215,268.75,-0.008982728,,
216,270,-0.00899648,,
217,271.25,-0.009005648,,
218,272.5,-0.009010233,,
219,273.75,-0.009014817,,
220,275,-0.009023985,,
221,276.25,-0.009037737,,
222,277.5,-0.009056074,,
223,278.75,-0.009060658,,
224,280,-0.009060658,,
225,281.25,-0.009056074,,
226,282.5,-0.00907441,,
227,283.75,-0.009092747,,
228,285,-0.009111083,,
229,286.25,-0.009124836,,
230,287.5,-0.009134004,,
231,288.75,-0.009138588,,
232,290,-0.009143172,,
233,291.25,-0.009156925,,
234,292.5,-0.009166093,,
235,293.75,-0.009166093,,
236,295,-0.009175261,,
237,296.25,-0.009184429,,
238,297.5,-0.009202766,,
239,298.75,-0.009216518,,
240,300,-0.009230271,,
241,301.25,-0.009230271,,
242,302.5,-0.009239439,,
243,303.75,-0.009244023,,
244,305,-0.009257775,,
245,306.25,-0.009271528,,
246,307.5,-0.009271528,,
247,308.75,-0.009276112,,
248,310,-0.00928528,,
249,311.25,-0.009303617,,
250,312.5,-0.009317369,,
251,313.75,-0.009335705,,
252,315,-0.009354042,,
253,316.25,-0.009358626,,
254,317.5,-0.00936321,,
255,318.75,-0.009381547,,
256,320,-0.009404467,,
257,321.25,-0.009422804,,
258,322.5,-0.009436556,,
259,323.75,-0.009445724,,
260,325,-0.009450309,,
261,326.25,-0.009473229,,
262,327.5,-0.009491566,,
263,328.75,-0.009505318,,
264,330,-0.009505318,,
265,331.25,-0.009505318,,
266,332.5,-0.009514486,,
267,333.75,-0.009528239,,
268,335,-0.009541991,,
269,336.25,-0.009546575,,
270,337.5,-0.009551159,,
271,338.75,-0.009560328,,
272,340,-0.009569496,,
273,341.25,-0.009578664,,
274,342.5,-0.009583248,,
275,343.75,-0.009592416,,
276,345,-0.009597001,,
277,346.25,-0.009592416,,
278,347.5,-0.009606169,,
279,348.75,-0.009624505,,
280,350,-0.009638258,,
281,351.25,-0.00965201,,
282,352.5,-0.009661178,,
283,353.75,-0.009670347,,
284,355,-0.009688683,,
285,356.25,-0.009697851,,
286,357.5,-0.009711604,,
287,358.75,-0.009716188,,
288,360,-0.009716188,,
289,361.25,-0.009720772,,
290,362.5,-0.009739108,,
291,363.75,-0.009766613,,
292,365,-0.009789534,,
293,366.25,-0.009789534,,
294,367.5,-0.009789534,,
295,368.75,-0.009794118,,
296,370,-0.009798702,,
297,371.25,-0.00980787,,
298,372.5,-0.009812454,,
299,373.75,-0.00980787,,
300,375,-0.009803286,,
301,376.25,-0.00980787,,
302,377.5,-0.009803286,,
303,378.75,-0.00980787,,
304,380,-0.009803286,,
305,381.25,-0.009803286,,
306,382.5,-0.00980787,,
307,383.75,-0.00980787,,
308,385,-0.009803286,,
309,386.25,-0.009812454,,
310,387.5,-0.009817039,,
311,388.75,-0.009821623,,
312,390,-0.009821623,,
313,391.25,-0.009821623,,
314,392.5,-0.009821623,,
315,393.75,-0.009830791,,
316,395,-0.009821623,,
317,396.25,-0.009812454,,
318,397.5,-0.00980787,,
319,398.75,-0.009817039,,
320,400,-0.009830791,,
321,401.25,-0.009839959,,
322,402.5,-0.009839959,,
323,403.75,-0.009844543,,
324,405,-0.009844543,,
325,406.25,-0.009853712,,
326,407.5,-0.009858296,,
327,408.75,-0.009858296,,
328,410,-0.009853712,,
329,411.25,-0.009849127,,
330,412.5,-0.009844543,,
331,413.75,-0.009849127,,
332,415,-0.009849127,,
333,416.25,-0.009844543,,
334,417.5,-0.009849127,,
335,418.75,-0.009844543,,
336,420,-0.009844543,,
337,421.25,-0.009844543,,
338,422.5,-0.009844543,,
339,423.75,-0.009844543,,
340,425,-0.009844543,,
341,426.25,-0.009839959,,
342,427.5,-0.009849127,,
343,428.75,-0.009844543,,
344,430,-0.009844543,,
345,431.25,-0.009853712,,
346,432.5,-0.009858296,,
347,433.75,-0.009858296,,
348,435,-0.009872048,,
349,436.25,-0.009876632,,
